Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q84579,Undirected,117,,1,Poland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q369737,Undirected,118,,1,Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21611332,Undirected,119,,1,Austrian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5697511,Undirected,120,,1,Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2694949,Undirected,121,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5697514,Undirected,122,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q3619217,Undirected,123,,1,Italy,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1248029,Undirected,124,,1,Kingdom of Italy,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19060927,Undirected,125,,1,Portugal,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5699856,Undirected,126,,1,Spain,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2857141,Undirected,127,,1,Czech Republic,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19665251,Undirected,128,,1,United Kingdom of Great Britain and Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2858458,Undirected,129,,1,Russian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2861363,Undirected,130,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q678438,Undirected,131,,1,Argentina,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q348006,Undirected,132,,1,Russia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q696087,Undirected,133,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q96906,Undirected,134,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q15990390,Undirected,135,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q708394,Undirected,136,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5706952,Undirected,137,,1,Australia,nationality
